"Jaruskova, Timea",Τίμεα Τζαρούσκοβα,جاروسکووا، تیمه
Ristic J / Rothensteiner L M,Ριστικ Τζι / Ροθενστάινερ Λ Μ,بینز ر / بری م
"Badenhorst, Devin","Μπαντενχόρστ, Δεβίν",هوپفیلد، سامر
Berberovic N / Chong E W,Μπερμπερόβιτς Ν / Τσόνγκ Ε Γου,لی ای جی / وی ه
Chappell N / Michelsen A,Τσαπέλ Ν / Μισέλσεν Α,بالو اس / متراوکس م
Altamirano C / Kirkov V,Αλταμιράνο Κ / Κίρκοφ Β,وایتیکوناس، پیجوس
"Sretenovic, Tijana","Σρετενόβιτς, Τιγιάνα",آبدوراییمووا ن / ویبلی-اسمیت ای
"Goodger, Joshua","Γουντγκερ, Τζουσία",پیریا م اف / رونکادلی ف
Mikovic M / Mikovic N,Μικόβιτς Μ / Μικόβιτς Ν,هودت، مرل
"Tseng, Chun Hsin","Τσενγκ, Τσουν Χσιν",بویه، تریستان
Durasovic V / Romboli F,Ντουρασόβιτς Β / Ρομπόλι Φ,ایتالیا
Bains R / Barry M,Μπέινς Ρ / Μπάρι Μ,پکاک، استپان
"Hupfeld, Summer","Χάπφελντ, Σάμερ",بوسومس پویگ، جوان
Lee E J / Wi H,Λι Ε Τζ / Γουάι Χ,کیرچی، کورای
Balu S / Mettraux M,Μπάλου Σ / Μετράου Μ,تیرون، اولین کریستل آتیسیا
"Vaitiekunas, Pijus","Βαϊτιεκούνας, Πιγκούς",لاماسین، تریستان
Abduraimova N / Webley-Smith E,Αμπντουραϊμόβα Ν / Γουέμπλι-Σμιθ Ε,میازاکی، یوریکو لیلی
Pereira M F / Roncadelli F,Περειρα Μ Φ / Ρονκαντελι Φ,مه، مکس
"Hoedt, Merel","Χοεντ, Μερελ",میکالسکی، دانیل
"Boyer, Tristan","Μπογιερ, Τρισταν",چنگیز بی / سوینگ اس
Italy,Ιταλία,اوگورا کی / سوتو ام
"Pecak, Stepan","Πετσάκ, Στεπάν",پاولو دی / سرتنوویچ تی
"Busoms Puig, Joan","Μπουσόμς Πουιγκ, Τζοάν",پاپلاوسکا، اناستازیا
"Kirci, Koray","Κιρτσί, Κοράι",شافر، آن
"Tiron, Evelyne Christelle Atticia","Τιρόν, Εβελίν Κριστέλ Ατισία",کو، جاستین
"Lamasine, Tristan","Λαμασίνε, Τριστάν",برکیچ تی / اسکوبار گی
"Miyazaki, Yuriko Lily","Μιγαζάκι, Γιουρίκο Λίλι",زالامیدزه نی / رخیمووا کی
"Meh, Maks","Μεχ, Μαξ",الحسين عبد العزيز ل / رفعت م
"Michalski, Daniel","Μιχάλσκι, Δανιήλ",كاتاني، ليوناردو
Cengiz B / Sewing S,Τσενγκιζ Μπι / Σουέινγκ Σ,دولتشي، جابريلي
Ogura K / Soto M,Ογκουρα Κ / Σότο Μ,كساندينوف، صوفيا
Pavlou D / Sretenovic T,Παυλού Δ / Σρετενόβιτς Τ,بايز، سباستيان (سرل)
"Poplavska, Anastasiya","Ποπλάβσκα, Αναστασία",بارترام، ويليام
"Schaefer, Anne","Σαφεέρ, Άννα",سيرافيني م / فينسنت روجري س
"Kuo, Justin","Κουο, Τζαστίν",فيشنيفسكي، دافيد
Brkic T / Escobar G,Μπρκιτς Τ / Εσκόμπαρ Γ,فانسيلو س / فالي دي
Dzalamidze N / Rakhimova K,Ντζαλαμιτζε Ν / Ραχιμόβα Κ,لانشيا بريما، أنا
Alhussein Abdel Aziz L / Refaat M,Αλχουσείν Αμπντέλ Αζίζ Λ / Ρεφαάτ Μ,کورت جی ام وی
"Catani, Leonardo","Κατάνι, Λεονάρντο",آگویلار جی سی ام ایند کلارک
"Dolce, Gabriele","Ντολτσε, Γκαμπριέλε",اویاما، کاهو
"Ksandinov, Sophia","Κσαντινόβ, Σοφία",انسون سانچز سی ایند پالازون
"Baez, Sebastian (Srl)","Μπαέζ, Σεβαστιάν (Σρλ)",هرینگ کی ایند سیدلیسکا
"Bartram, William","Μπάρτραμ, Ουίλιαμ",بارکی، ناتان انتونی
Serafini M / Vincent Ruggeri S,Σεραφίνι Μ / Βίνσεντ Ρουγκέρι Σ,فورتی اف ایند اسپادولا
"Wisniewski, Dawid","Βισνιέφσκι, Δαβίν",رودریگز کارترو، پاتریسیا
Fanselow S / Vale D,Φάνσελο Σ / Βάλε Δ,بوساله ری ایند راینا
"Lanciaprima, Anna","Λαντσιαπρίμα, Άννα",بوینر، لورا
Court J / MA W,Κορτ Τζει / ΜΑ Γου,شو، مینگگه
Aguilar J C M / Clark E,Αγκιλάρ Τζε Σι Μι / Κλαρκ Ει,گشوایند ف تی / گیمنز جه
"Oyama, Kaho","Ογιάμα, Κάχο",رئیس دا سیلوا، جوآو لوکاس
Anson Sanchez C / Palazon A,Άνσον Σάντσες Σι / Παλαζόν Αλ,هایاساکا، کورئه
Hering K / Siedliska N,Χέρινγκ Κε / Σιεντλίσκα Νι,باچینگر، ماتیاس
"Barki, Nathan Anthony","Μπάρκι, Νατάν Άντονι",براور، گیجس
Forti F / Spadola A,Φορτί Φι / Σπαντόλα Αλ,موکوند اس / وردهان وی
"Rodriguez Carretero, Patricia","Ροδρίγκεζ Καρετερό, Πατρίσια",پرز مارتین، ایوان
Bhosale R / Raina A,Μποσάλε Ρι / Ραίνα Αλ,ریتشارد، آلکساندر
"Boehner, Laura","Μπέχνερ, Λόρα",لاک بی / استاتهام آر
"Xu, Mingge","Ξυ, Μινγκε",جونز، مکسیموس
Geschwind F T / Gimenez J,Γεσχγουιντ Φ Τ / Γιμενεζ Τ,دوبوچ، مکسیم
"Reis Da Silva, Joao Lucas","Ρεις Ντα Σιλβα, Τζοαο Λουκας",ایسومورا کیه / ماتسودا ری
"Hayasaka, Kurea","Χαγιασακα, Κουρεα",آرکوشین ری / لهمان نی
"Bachinger, Matthias","Μπαχινγκερ, Ματθιας",امو، مایکل (سرال)
"Brouwer, Gijs","Μπρουουερ, Γις",کاتزر، الن
Mukund S / Vardhan V,Μουκουντ Σ / Βαρνταν Β,میرالس، مارسل
"Perez Martin, Ivan","Περεζ Μαρτιν, Ιβαν",گالوانین، داوید
"Ritschard, Alexander","Ριτσχαρντ, Αλεξανδερ",کنترینو، گلوریا
Lock B / Statham R,Λοκ Β / Σταθαμ Ρ,یانین، نیکیتا
"Jones, Maximus","Τζόουνς, Μάξιμας",بونداز ام / ویلگزهانین ن
"Dubouch, Maxime","Ντουμπουσ, Μαξίμ",سیمونیووی / ولووا و
Isomura K / Matsuda R,Ίσομουρα Κ / Ματσούντα Ρ,چن، یینگ-زه
Arcuschin R / Lehmann N,Άρκουστσιν Ρ / Λέμαν Ν,سرافینی، مارچلو
"Mmoh, Michael (Srl)","Μμοχ, Μάικλ (Σρλ)",چسچی جی / ویویانی م وی
"Katzer, Ellen","Κάτζερ, Έλεν",آبادیا، دانیل
"Miralles, Marcel","Μιράλες, Μαρσέλ",کلارک جی / پاریس جی
"Galvanin, Davide","Γκαλβανίν, Δαβίντε",هامفریز، فردی
"Contrino, Gloria","Κοντρίνο, Γκλόρια",راینا، انکیتا
"Ianin, Nikita","Ίανιν, Νίκιτα",مارکوویچ، ساسا
Bondaz M / Vylegzhanin N,Μπονταζ Μ / Βιλεγζανίν Ν,کاتسومی ن / ماتسودا ر
Simunyu C / Veleva V,Σιμούνυου Κ / Βελεβά Β,الهگبنی ی / روود سی
"Chen, Ying-Ze","Τσεν, Ύινγκ-Ζε",بائز سی / راموس-وینولاس آ
"Serafini, Marcello","Σεραφίνι, Μαρτσέλο",آراگوسا، آنتونیا
Ceschi G / Viviani M V,Τσέσκι Γ / Βιβιάνι Μ Β,بوشر، روبین میک
"Abadia, Danielle","Αμπαντία, Ντανιέλ",هازس سی / تراورسی سی
Clarke J / Paris J,Κλαρκ Τζ / Πάρις Τζ,کوکوشکین، میخائیل
"Humphries, Freddy","Χάμφρις, Φρέντυ",استرخووا، والریا
"Raina, Ankita","Ραίνα, Ανκίτα",فولیو، کوانتن
"Markovic, Sasa","Μάρκοβιτς, Σάσα",ایبراگیمووا آ / شوبلادزه آ
Katsumi N / Matsuda R,Κατσούμι Ν / Ματσούντα Ρ,فانگ، استیسی
Alhogbani Y / Ruud C,Αλχογκμάνι Γ / Ρουντ Κ,روزیک، آنتونیا
Baez S / Ramos-Vinolas A,Μπάεζ Σ / Ραμός-Βινολάς Α,سالتون، دیلن
"Aragosa, Antonia","Αραγκόσα, Αντόνια",میخایلووا م / وکرله م
"Bucher, Robin Mick","Μπούσερ, Ρόμπιν Μικ",پلیزاری، آدریانا
Hazes S / Traversi C,Χάζες Σ / Τραβέρσι Κ,سامیر، ساندرا
"Kukushkin, Mikhail","Κουκούσκιν, Μιχαήλ",میاتا، موئکا
"Strakhova, Valeriya","Στραχόβα, Βαλερία",نوپبی، آیا
"Folliot, Quentin","Φολιό, Κουαντέν",لوئیز، مری
Ibragimova A / Shubladze A,Ιμπραγιμόβα Α / Σουμπλάτζε Α,یردیلدا ی / زاتسپین و
"Fung, Stacey","Φανγκ, Στέισι",آلونسو ویوانکو، ژولیان
"Ruzic, Antonia","Ρουζικ, Αντόνια",امبروزیو، سیلویا
"Salton, Dylan","Σάλτον, Δίλαν",لاهی، آشلی
Mikhailova M / Weckerle M,Μιχαίλοβα Μ / Βέκερλε Μ,مندز، سئونه
"Pellizzari, Adriana","Πελιζάρι, Αντριάνα",مونت، کارول
"Samir, Sandra","Σαμίρ, Σάντρα",مگرابیان، آندره
"Miyata, Moeka","Μιγιάτα, Μόεκα",گولاس، اولگا
"Nupbay, Aiya","Νουμπάι, Αίγια",کریستیان کی / سانتاماریا سی
"Lewis, Mary","Λουίς, Μέρι",بانیچویچ م / تومباس کاژو کی
Yerdilda Y / Zatsepin V,Γιέρντιλντα Γ / Ζατσεπίν Β,فیضیوو سی / کالوولونیس م
"Alonso Vivanco, Julian","Άλονσο Βίβανκο, Χουλιάν",باروسو کامپوس ا / لوپز موریلو
"Ambrosio, Silvia","Αμπρόσιο, Σίλβια",زارازوآ، رناتا
"Lahey, Ashley","Λάχεϊ, Άσλεϊ",ملیس، ورنا
"Mendez, Seone","Μέντεζ, Σεόνε",گولدنبرگ ل / اولیل ی
"Monnet, Carole","Μοννε, Καρόλ",یانگ، جیمی
"Megrabian, Andre","Μεγκραμπιάν, Άντρε",کرائوثر، کوربان
"Golas, Olga","Γκόλας, Όλγα",باتیل ا / ویلت م
Christian K / Santamaria S,Κριστιάν Κ / Σανταμαρία Σ,میناسیان، داویت
Banicevic M / Tumbas Kajgo K,Μπανιτσεβιτς Μ / Τουμπάς Καγιό Κ,گوینارد م / رومبولی ف
Fayziev S / Kalovelonis M,Φαγζιεφ Σ / Καλοβελόνης Μ,ونتورینی، کارلو
Barroso Campos A / Lopez Morillo I,Μπαρρόσο Κάμπος Α / Λόπεζ Μόριλο,
"Zarazua, Renata","Ζαράζουα, Ρενάτα",
"Meliss, Verena","Μελισ, Βερένα",
Goldenberg L / Oliel Y,Γκόλντενμπεργκ Λ / Ολιέλ Γι,
"Yang, Jimmy","Γιάνγκ, Τζίμι",
"Crowther, Corban","Κράουθερ, Κόρμπαν",
Bataille E / Villet M,Μπαταΐλ Ε / Βιλέτ Μ,
"Minasyan, Davit","Μινασιάν, Δαβίτ",
Guinard M / Romboli F,Γκινάρ Μ / Ρομπόλι Φ,
"Venturini, Carlo","Βεντουρίνι, Κάρλο",
